level,avg_safety_logit,avg_harmful_logit,logit_diff,normalized_boundary,safety_projection,harmful_projection,semantic_bias
1,8.697720946339517,8.775465686600228,0.07774474026071054,0.4961127629869645,39.0,9.46875,-29.53125
2,0.0,0.0,0.0,0.5,0.0,0.0,0.0
3,0.0,0.0,0.0,0.5,0.0,0.0,0.0
4,0.0,0.0,0.0,0.5,0.0,0.0,0.0
5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
6,0.0,0.0,0.0,0.5,0.0,0.0,0.0
7,0.0,0.0,0.0,0.5,0.0,0.0,0.0
8,0.0,0.0,0.0,0.5,0.0,0.0,0.0
9,0.0,0.0,0.0,0.5,0.0,0.0,0.0
10,0.0,0.0,0.0,0.5,0.0,0.0,0.0
11,0.0,0.0,0.0,0.5,0.0,0.0,0.0
